Mass	Q	chi1	chi2	theta1	theta2	phi2-phi	Mismatch	Error
37.5	2.4738148017364106	0.2	0.8	2.609847499268423	2.84271150079268	1.436284959246114	-3.066715069942437	0.44715538224382084
37.5	4.	0.20053804941632858	0.8011780731123167	2.6192088397549953	2.791938632655827	0.05762572991002153	-2.858088212415702	0.4432949819372449
37.5	1.	0.2	0.5	1.8140161627822293	2.7918780790106177	0.06139499931612788	-3.045252714539161	0.4668627207548259
37.5	4.	0.2	0.8	2.360688766430507	2.4420446064586843	0.7537762021557582	-2.760965318740499	0.4877885117255142
37.5	1.8571428571428572	0.2	0.8	2.870104728963818	1.7549460720753038	1.4352300938405727e-7	-2.697335696982534	0.7263878404911447
37.5	3.1633294308785294	0.2	0.8	2.105560641889202	2.0863934916919438	0.8283371437842303	-2.833376074420618	0.43329384814232913
37.5	1.	0.2	0.8	0.8202977232103961	2.074611939264946	3.141489630524298	-2.7176771716929014	0.2904724131180313
37.5	1.8571428571428572	0.2	0.8	2.354037668311092	1.3924830443449079	0.7929432123748189	-2.7402957971836903	0.3982268205646454
37.5	1.	0.2	0.8	1.3166479687112786	1.7409780104874777	3.1415935963633372	-2.6627969096380233	0.3355952765559341
37.5	1.	0.5	0.5	1.5707963267948966	1.5707963267948966	4.4285948711763625	-2.858878608428223	0.6367237406357998
37.5	1.	0.2	0.8	1.824979243865008	1.4006114879196079	3.141594950860962	-2.672298930788637	0.38071760152704737
37.5	1.8571428571428572	0.2	0.8	0.7888836567625361	1.748284202599275	0.7958718112716998	-2.7574514112245594	0.5618371324694917
37.5	1.	0.2	0.8	2.321295147666495	1.0669806568812152	3.1414970494028482	-2.6437826976601912	0.4588117152595676
37.5	3.1633294308785294	0.2	0.8	1.0375354676211563	1.0514739698699704	0.8290356555809621	-2.728066954371103	0.16749038653080067
37.5	1.8571428571428572	0.2	0.8	0.2714880904679127	1.386646542476643	0.0011811208454803519	-2.8190416898978743	0.4360464924315749
37.5	4.	0.2	0.8	0.7822635666097604	0.6935751251659117	0.7540457209991724	-2.6540061679246167	0.181056855847791
37.5	1.	0.2	0.5	1.3279313519550822	0.3493132999282064	-3.5108064549735755e-9	-2.95161769104764	0.6432274391136604
37.5	4.	0.2006056774789161	0.800102483318963	0.5225852189855753	0.34820874888981335	0.01704700062511221	-2.566935597515955	0.26336571162318184
37.5	2.4738148017364106	0.2	0.8	0.528301343324446	0.30779625726793514	1.4350980971182388	-2.8245493578787584	0.3002143459705006
